SE6611    NAS04     00000400  00000056
SE7380    HD03      00000600  00000228
SE3503    NAS06     00000800  00000320
SE2221    HD02      00000500  00000135
SE7434    HD06      00001600  00000496
SE1570    HD02      00000100  00000021
SE7466    HD04      00000100  00000003
SE4614    NAS01     00000800  00000096
SE8662    HD08      00001500  00000150
SE4166    NAS02     00001200  00000084
SE5960    HD05      00002000  00000160
SE1537    NAS01     00001100  00000099
SE4422    NAS05     00001400  00000014
SE3417    HD05      00001400  00000070
SE1110    HD07      00000500  00000075
SE6868    NAS07     00000600  00000054
SE2713    HD03      00002000  00000100
SE3076    HD01      00000200  00000032
SE2542    HD01      00001200  00000060
SE6729    HD04      00000300  00000063
SE3535    NAS05     00001300  00000143
SE3140    NAS01     00001100  00000319
SE8630    HD09      00001000  00000380
SE3246    HD03      00000500  00000025
SE4764    HD09      00001100  00000330
SE7861    HD01      00000700  00000105
SE7124    HD10      00000900  00000027
SE6046    HD06      00001400  00000028
SE2648    NAS07     00001100  00000242
SE4988    HD04      00000400  00000052
SE8150    HD02      00000900  00000189
SE5501    NAS09     00000900  00000018
SE6815    HD05      00001700  00000442
SE4646    NAS10     00001200  00000288
SE3706    HD06      00000100  00000011
SE5362    NAS06     00000600  00000084
SE7637    NAS06     00000900  00000288
SE6835    NAS06     00000200  00000014
SE1794    NAS04     00001400  00000056
SE1879    NAS05     00000800  00000304
SE2990    HD10      00000800  00000088
SE1431    HD09      00001700  00000561
SE8288    NAS05     00001300  00000117
SE4678    HD08      00001700  00000612
SE6750    HD05      00000700  00000014
SE6558    NAS02     00001400  00000434
SE1313    NAS07     00001900  00000513
SE4133    HD04      00000700  00000245
SE5041    NAS06     00001300  00000078
SE6217    NAS08     00000300  00000006
SE4870    NAS04     00000500  00000030
SE3995    NAS10     00000800  00000056
SE3738    HD07      00000600  00000072
SE8406    HD05      00001200  00000180
SE8833    NAS02     00000300  00000030
SE6387    NAS10     00001100  00000352
SE7092    NAS02     00000400  00000008
SE5126    NAS07     00000800  00000008
SE1452    NAS01     00000200  00000030
SE3311    NAS03     00001500  00000435
SE2852    HD07      00000400  00000092
SE2253    NAS10     00001000  00000390
SE2477    NAS05     00000200  00000044
SE2766    HD06      00001000  00000280
SE1143    NAS05     00001000  00000270
SE1912    HD06      00001300  00000130
SE3909    NAS09     00001400  00000168
SE2628    HD02      00000600  00000240
SE1965    HD06      00000200  00000008
SE4101    HD03      00000200  00000046
SE1997    HD07      00000700  00000035
SE5020    NAS02     00000900  00000225
SE3193    NAS01     00000100  00000022
SE6697    NAS05     00001800  00000342
SE8491    HD06      00000600  00000060
SE1944    NAS05     00001800  00000396
SE6953    NAS08     00000100  00000014
SE3824    HD08      00002000  00000360
SE1517    HD10      00001200  00000336
SE1399    NAS01     00001300  00000273
SE5244    HD06      00000700  00000049
SE3482    HD05      00000300  00000054
SE5073    HD05      00001800  00000324
SE1260    HD07      00000900  00000297
SE6066    NAS08     00001900  00000456
SE5671    NAS01     00001200  00000024
SE3161    HD02      00001100  00000121
SE3653    HD07      00001200  00000216
SE7295    HD02      00001200  00000036
SE2392    HD04      00000800  00000216
SE1655    HD03      00001000  00000160
SE8577    HD07      00002000  00000300
SE3055    NAS07     00001700  00000578
SE7519    HD07      00001000  00000260
SE2681    HD05      00001600  00000544
SE8032    NAS02     00001000  00000140
SE1346    HD08      00000300  00000084
SE7177    NAS03     00001300  00000481
SE6237    NAS10     00000700  00000091
SE7893    NAS09     00001200  00000312
SE2168    NAS09     00001600  00000080
SE1367    NAS10     00000800  00000072
SE2200    NAS08     00002000  00000320
SE2286    HD08      00001400  00000154
SE3397    HD04      00000900  00000207
SE3962    HD02      00000400  00000024
SE2819    NAS09     00001900  00000418
SE7210    HD01      00000300  00000024
SE1281    HD09      00001400  00000210
SE1089    NAS05     00000100  00000004
SE3845    NAS10     00000500  00000145
SE6665    HD04      00001300  00000104
SE5447    NAS07     00002000  00000380
SE8748    NAS01     00000900  00000036
SE5277    NAS05     00001100  00000209
SE6526    NAS04     00000900  00000180
SE6270    HD01      00001200  00000300
SE2937    HD08      00001800  00000504
SE3364    NAS03     00000400  00000048
SE8919    NAS03     00001200  00000048
SE1623    NAS02     00000500  00000020
SE5533    NAS08     00001400  00000196
SE1859    NAS04     00000300  00000051
SE5842    NAS03     00000100  00000001
SE5383    HD10      00001000  00000350
SE4785    NAS03     00001100  00000132
SE2884    NAS05     00000900  00000315
SE5297    HD09      00001600  00000016
SE3674    NAS08     00001600  00000640
SE4443    HD07      00001900  00000437
SE6441    HD03      00000100  00000025
SE5159    HD05      00001200  00000156
SE2371    HD09      00000900  00000054
SE4508    HD06      00000900  00000324
SE4528    HD08      00001300  00000221
SE7551    HD05      00001500  00000555
SE5725    NAS04     00000200  00000048
SE1228    NAS06     00000400  00000084
SE3022    HD09      00001300  00000299
SE4475    NAS08     00000400  00000096
SE1484    NAS01     00000700  00000112
SE6355    HD02      00000600  00000120
SE4048    HD03      00001300  00000520
SE3930    NAS01     00001400  00000476
SE7775    HD10      00001300  00000260
SE6013    HD05      00000900  00000279
SE7604    HD08      00000400  00000080
SE3792    HD07      00001500  00000090
SE6473    NAS01     00000500  00000130
SE8203    NAS04     00001900  00000266
SE3568    HD06      00001700  00000391
SE6184    HD07      00001800  00000558
SE1826    HD05      00001900  00000304
SE2798    HD04      00001500  00000600
SE4186    HD04      00001600  00000448
SE3108    HD10      00000700  00000119
SE5586    NAS10     00000400  00000028
SE2050    HD07      00001700  00000646
SE5212    HD08      00000200  00000012
SE2563    NAS06     00001700  00000459
SE3877    HD01      00001000  00000010
SE1708    NAS03     00002000  00000180
SE6644    NAS03     00000800  00000208
SE2424    NAS02     00001300  00000507
SE4699    NAS02     00000200  00000034
SE1773    NAS03     00000900  00000198
SE4732    NAS01     00000700  00000126
SE4817    HD02      00000100  00000024
SE5928    HD04      00001500  00000540
SE6494    HD03      00000500  00000040
SE3226    NAS02     00000600  00000144
SE1741    HD04      00000400  00000040
SE1688    HD02      00001500  00000420
SE3621    NAS06     00000700  00000042
SE4251    NAS03     00000600  00000006
SE1196    HD08      00002000  00000400
SE7979    NAS10     00000600  00000126
SE3279    NAS02     00001000  00000170
SE7808    NAS08     00001800  00000576
SE1057    NAS04     00001600  00000512
SE8801    HD01      00001300  00000494
SE5468    HD01      00000500  00000005
SE5895    NAS06     00001000  00000240
SE3450    NAS04     00001800  00000306
SE2029    NAS06     00001200  00000204
SE8064    NAS01     00001500  00000390
SE4390    NAS07     00001000  00000290
SE8374    NAS06     00000700  00000028
SE5789    HD03      00001100  00000088
SE5191    NAS04     00001700  00000425
SE5415    NAS08     00001500  00000105
SE5704    HD02      00000200  00000026
SE4080    NAS01     00000300  00000036
SE4849    HD10      00000500  00000125
SE8972    HD03      00000200  00000054
SE7690    HD09      00001900  00000475
SE4902    HD03      00001000  00000180
SE7039    HD09      00001500  00000120
SE4935    HD01      00001400  00000420
